Gender,Age,Current_Weight,BMR,Daily_Calories_Consumed,Daily_Calorie_Balance,Activity_Level,Sleep_Quality,Stress_Level,Daily_Weight_Change_Rate
M,56,228.4,3102.3,3916.0,813.7,Sedentary,Excellent,6.0,0.0286
F,46,165.4,2275.5,3823.0,1547.5,Very Active,Excellent,6.0,0.0571
F,32,142.8,2119.4,2785.4,666.0,Sedentary,Good,3.0,0.0286
F,25,145.5,2181.3,2587.3,406.0,Sedentary,Fair,2.0,0.0143
M,38,155.5,2463.8,3312.8,849.0,Lightly Active,Good,1.0,0.0286
F,56,152.9,2100.6,2262.4,161.9,Sedentary,Poor,6.0,-0.1986
M,36,107.3,1991.3,2933.4,942.1,Moderately Active,Poor,5.0,-0.1741
M,40,207.9,2977.9,4000.0,1022.1,Moderately Active,Poor,9.0,-0.4634
F,28,169.5,2406.9,3890.2,1483.4,Very Active,Poor,1.0,-0.1211
F,28,169.2,2403.3,2485.8,82.5,Sedentary,Excellent,7.0,0.0
M,41,194.5,2839.1,4000.0,1160.9,Very Active,Poor,5.0,-0.1437
M,53,138.4,2217.4,3604.9,1387.6,Moderately Active,Excellent,5.0,0.0571
F,57,147.3,2039.0,2803.1,764.1,Sedentary,Excellent,2.0,0.0286
F,41,183.7,2483.7,2845.0,361.3,Sedentary,Poor,3.0,-0.1496
F,20,168.1,2432.2,3885.8,1453.6,Very Active,Poor,7.0,-0.0416
M,39,180.3,2707.2,4000.0,1292.8,Moderately Active,Fair,6.0,0.0571
M,19,167.6,2679.7,3252.4,572.7,Sedentary,Good,2.0,0.0286
M,41,162.8,2521.3,4000.0,1478.7,Very Active,Poor,6.0,-0.1527
M,47,213.0,2993.8,4000.0,1006.2,Moderately Active,Fair,2.0,0.0429
M,55,202.0,2843.5,4000.0,1156.5,Very Active,Fair,2.0,0.0429
M,19,100.0,2003.8,3086.2,1082.5,Lightly Active,Good,2.0,0.0429
F,38,214.4,2805.6,3274.1,468.5,Sedentary,Excellent,3.0,0.0143
M,50,234.8,3196.4,4000.0,803.6,Lightly Active,Poor,2.0,-0.0937
M,29,207.0,3023.3,4000.0,976.7,Moderately Active,Good,4.0,0.0429
M,39,163.6,2539.5,3355.7,816.3,Lightly Active,Poor,9.0,-0.2692
F,42,149.3,2134.7,2882.6,747.8,Lightly Active,Fair,6.0,0.0286
M,44,191.8,2797.1,4000.0,1202.9,Moderately Active,Fair,1.0,0.0429
M,59,151.4,2318.0,3877.8,1559.8,Very Active,Excellent,8.0,-0.0876
F,45,180.7,2433.3,3236.0,802.7,Lightly Active,Fair,7.0,0.0286
M,33,169.3,2627.2,4000.0,1372.8,Very Active,Fair,3.0,0.0571
M,32,206.5,3004.2,4000.0,995.8,Lightly Active,Good,1.0,0.0429
M,20,158.3,2581.9,4000.0,1418.1,Very Active,Poor,5.0,-0.0315
M,54,156.7,2395.9,3648.8,1252.9,Moderately Active,Poor,4.0,-0.1267
M,24,181.3,2792.2,3944.2,1152.0,Lightly Active,Good,8.0,-0.1994
F,38,228.0,2941.7,4000.0,1058.3,Moderately Active,Excellent,1.0,0.0429
F,26,172.4,2445.8,3379.8,934.0,Lightly Active,Poor,1.0,-0.0526
