Gender,Age,Height,Weight,Exercise_Type,Duration,Intensity,Distance,Calories_Burned
Male,56,171.0,88.3,Yoga,101.4,High,0.0,1313.0
Female,46,153.0,74.9,HIIT,78.0,Medium,0.0,883.0
Female,32,166.0,68.1,Cardio,66.6,Medium,0.0,677.0
Male,25,170.0,53.2,Strength,35.4,Low,0.0,532.0
Male,38,179.0,46.1,Strength,38.4,Low,0.0,556.0
Female,56,168.0,58.0,HIIT,95.4,High,0.0,1116.0
Male,36,172.0,70.3,Cardio,89.4,Medium,0.0,1385.0
Female,40,151.0,69.7,Cardio,76.2,Medium,0.0,895.0
Male,28,194.0,121.7,Strength,61.8,Medium,0.0,719.0
Male,28,184.0,101.8,Cardio,64.8,Low,0.0,808.0
Male,41,167.0,120.8,HIIT,49.2,Low,0.0,593.0
Male,53,170.0,51.7,HIIT,69.0,Medium,0.0,865.0
Male,57,161.0,112.5,Cardio,74.4,Medium,0.0,1013.0
Male,41,200.0,94.5,HIIT,70.8,Low,0.0,794.0
Male,20,181.0,117.7,Yoga,81.0,Medium,0.0,1195.0
Female,39,175.0,42.5,Strength,67.8,Low,0.0,740.0
Female,19,153.0,64.0,HIIT,79.8,Medium,0.0,1111.0
Female,41,177.0,43.8,Cardio,71.4,Low,0.0,884.0
Female,47,175.0,66.8,Strength,67.8,Medium,0.0,742.0
Female,55,167.0,75.2,HIIT,82.2,Low,0.0,1030.0
Male,19,177.0,89.0,Strength,90.0,Medium,0.0,1048.0
Male,38,177.0,71.9,Cardio,67.2,Low,0.0,875.0
Female,50,168.0,71.0,Yoga,70.2,Low,0.0,848.0
Male,29,178.0,120.9,Yoga,46.8,Low,0.0,721.0
Female,39,169.0,64.3,HIIT,75.0,Medium,0.0,925.0
Female,42,171.0,63.7,Yoga,85.2,Medium,0.0,1080.0
Male,44,180.0,65.2,HIIT,43.8,Low,0.0,502.0
Male,59,175.0,53.9,Strength,88.8,Medium,0.0,989.0
Male,45,186.0,84.9,HIIT,98.4,High,0.0,1104.0
Female,33,168.0,78.0,HIIT,77.4,Medium,0.0,871.0
Male,32,180.0,108.2,HIIT,76.2,Low,0.0,964.0
Female,20,152.0,65.4,Yoga,61.8,Medium,0.0,654.0
Female,54,161.0,50.2,HIIT,88.8,Low,0.0,1046.0
Female,24,151.0,58.9,Cardio,62.4,Low,0.0,816.0
Male,38,171.0,81.4,HIIT,91.2,High,0.0,1237.0
Male,26,173.0,127.6,Strength,79.2,Low,0.0,1162.0
Female,56,156.0,59.3,Cardio,75.6,Medium,0.0,879.0
Male,35,171.0,96.9,Strength,80.4,Medium,0.0,1069.0
Male,21,181.0,62.6,Strength,78.0,Medium,0.0,1072.0
Male,42,160.0,45.5,Strength,78.6,Medium,0.0,1057.0
Female,31,151.0,48.8,Cardio,88.8,Low,0.0,969.0
Female,26,160.0,44.3,Cardio,64.8,Low,0.0,734.0
Male,43,183.0,113.2,Yoga,87.0,Medium,0.0,962.0
Female,19,159.0,60.5,Cardio,68.4,Low,0.0,730.0
Male,37,176.0,124.2,HIIT,90.0,Low,0.0,1304.0
Male,45,185.0,52.4,Strength,72.0,Low,0.0,956.0
Male,24,174.0,54.7,Yoga,50.4,Low,0.0,772.0
Male,25,195.0,88.1,Cardio,84.6,Low,0.0,1016.0
Female,52,171.0,59.7,Strength,73.8,Low,0.0,836.0
Female,31,154.0,79.7,Cardio,61.8,Medium,0.0,742.0
Female,34,162.0,51.0,Yoga,85.2,Medium,0.0,1122.0
Male,53,176.0,84.2,Cardio,100.2,High,0.0,1133.0
Male,57,189.0,122.1,Cardio,67.8,Low,0.0,750.0
Male,21,172.0,96.7,Strength,75.6,Low,0.0,1046.0
Female,19,179.0,73.0,HIIT,48.6,Low,0.0,506.0
Male,23,160.0,114.8,Cardio,88.2,Medium,0.0,1318.0
Female,59,152.0,65.5,Yoga,84.0,Medium,0.0,1021.0
Female,21,152.0,50.3,Cardio,64.8,Low,0.0,832.0
Female,46,171.0,61.0,Cardio,100.2,High,0.0,1150.0
Female,35,162.0,44.6,HIIT,33.6,Low,0.0,440.0
Female,43,161.0,58.2,Strength,62.4,Medium,0.0,580.0
Female,51,163.0,44.8,Yoga,64.8,Medium,0.0,666.0
Male,27,163.0,87.5,Strength,105.0,High,0.0,1299.0
Male,53,174.0,51.8,Strength,73.8,Medium,0.0,773.0
Female,31,170.0,64.4,Strength,118.2,High,0.0,1418.0
Female,48,161.0,67.1,Cardio,37.2,Low,0.0,421.0
Male,32,160.0,85.9,HIIT,119.4,High,0.0,1587.0
